[2024-07-11 21:41:02] Try to insert 2566 codes
[2024-07-11 21:41:06] udpate price: METCL, row: 3
[2024-07-11 21:43:22] udpate price: TWIN, row: 3
[2024-07-11 21:43:23] udpate price: VITL, row: 3
[2024-07-11 21:43:24] udpate price: MBNKP, row: 3
[2024-07-11 21:43:26] udpate price: MAQCU, row: 3
[2024-07-11 21:43:27] udpate price: CLDX, row: 3
[2024-07-11 21:43:28] udpate price: AVBP, row: 3
[2024-07-11 21:43:29] udpate price: FVCB, row: 3
[2024-07-11 21:43:31] udpate price: CTSH, row: 3
[2024-07-11 21:43:32] udpate price: KNDI, row: 3
[2024-07-11 21:43:33] udpate price: SWKS, row: 3
[2024-07-11 21:43:35] udpate price: ALCO, row: 3
[2024-07-11 21:43:36] udpate price: NVCT, row: 3
[2024-07-11 21:43:37] udpate price: FBLG, row: 3
[2024-07-11 21:43:38] udpate price: HAYN, row: 3
[2024-07-11 21:43:40] udpate price: AUBN, row: 3
[2024-07-11 21:43:41] udpate price: SURG, row: 3
[2024-07-11 21:43:42] udpate price: HNNA, row: 3
[2024-07-11 21:43:44] udpate price: PMCB, row: 3
[2024-07-11 21:43:45] udpate price: TRVN, row: 3
[2024-07-11 21:43:46] udpate price: TRS, row: 3
[2024-07-11 21:43:47] udpate price: YNDX, row: 3
[2024-07-11 21:43:49] udpate price: RVPH, row: 3
[2024-07-11 21:43:50] udpate price: WINT, row: 3
[2024-07-11 21:43:51] udpate price: CHI, row: 3
[2024-07-11 21:43:52] udpate price: ASST, row: 3
[2024-07-11 21:43:54] udpate price: ARLP, row: 3
[2024-07-11 21:43:55] udpate price: EDTK, row: 3
[2024-07-11 21:43:56] udpate price: NMRA, row: 3
[2024-07-11 21:43:57] udpate price: ATMCU, row: 3
[2024-07-11 21:43:59] udpate price: INZY, row: 3
[2024-07-11 21:44:00] udpate price: OVLY, row: 3
[2024-07-11 21:44:01] udpate price: VANI, row: 3
[2024-07-11 21:44:03] udpate price: LDTC, row: 3
[2024-07-11 21:44:04] udpate price: PLRX, row: 3
[2024-07-11 21:44:05] udpate price: CGEM, row: 3
[2024-07-11 21:44:06] udpate price: NNOX, row: 3
[2024-07-11 21:44:08] udpate price: STNE, row: 3
[2024-07-11 21:44:09] udpate price: THRD, row: 3
[2024-07-11 21:44:10] udpate price: CHSCN, row: 3
[2024-07-11 21:44:12] udpate price: NVNO, row: 3
[2024-07-11 21:44:13] udpate price: HUMA, row: 3
[2024-07-11 21:44:14] udpate price: MBCN, row: 3
[2024-07-11 21:44:15] udpate price: AFJKR, row: 0
[2024-07-11 21:44:16] udpate price: NKLA, row: 3
[2024-07-11 21:44:18] udpate price: LEGH, row: 3
[2024-07-11 21:44:19] udpate price: VSTM, row: 3
[2024-07-11 21:44:20] udpate price: FUSN, row: 0
[2024-07-11 21:44:21] udpate price: LKQ, row: 3
[2024-07-11 21:44:22] udpate price: MARA, row: 3
[2024-07-11 21:44:23] udpate price: EMCGR, row: 0
[2024-07-11 21:44:24] udpate price: HWKN, row: 3
[2024-07-11 21:44:26] udpate price: CGNX, row: 3
[2024-07-11 21:44:27] udpate price: GEN, row: 3
[2024-07-11 21:44:29] udpate price: SBAC, row: 3
[2024-07-11 21:44:30] udpate price: SEED, row: 3
[2024-07-11 21:44:32] udpate price: TTNP, row: 3
[2024-07-11 21:44:34] udpate price: SYBX, row: 3
[2024-07-11 21:44:39] udpate price: SPEL, row: 0
[2024-07-11 21:44:40] udpate price: MNST, row: 3
[2024-07-11 21:44:42] udpate price: GTACU, row: 3
[2024-07-11 21:44:43] udpate price: DRS, row: 3
[2024-07-11 21:44:45] udpate price: HBNC, row: 3
[2024-07-11 21:44:47] udpate price: GDST, row: 3
[2024-07-11 21:44:48] udpate price: GAIN, row: 3
[2024-07-11 21:44:50] udpate price: HRYU, row: 3
[2024-07-11 21:44:51] udpate price: SVII, row: 3
[2024-07-11 21:44:53] udpate price: WLDN, row: 3
[2024-07-11 21:44:55] udpate price: EVRG, row: 3
[2024-07-11 21:44:56] udpate price: QUBT, row: 3
[2024-07-11 21:44:57] udpate price: RRR, row: 3
[2024-07-11 21:44:59] udpate price: FRSX, row: 3
[2024-07-11 21:45:00] udpate price: NVNI, row: 3
[2024-07-11 21:45:01] udpate price: DSGN, row: 3
[2024-07-11 21:45:03] udpate price: IMAQU, row: 3
[2024-07-11 21:45:04] udpate price: PFX, row: 3
[2024-07-11 21:45:06] udpate price: SMPL, row: 3
[2024-07-11 21:45:07] udpate price: COFS, row: 3
[2024-07-11 21:45:09] udpate price: NODK, row: 3
[2024-07-11 21:45:10] udpate price: GDYN, row: 3
[2024-07-11 21:45:11] udpate price: AKAN, row: 3
[2024-07-11 21:45:13] udpate price: CORT, row: 3
[2024-07-11 21:45:14] udpate price: TWLVU, row: 0
[2024-07-11 21:45:15] udpate price: PXSAP, row: 3
[2024-07-11 21:45:16] udpate price: MRM, row: 3
[2024-07-11 21:45:18] udpate price: LARK, row: 3
[2024-07-11 21:45:19] udpate price: SNDX, row: 3
[2024-07-11 21:45:21] udpate price: ALTR, row: 3
[2024-07-11 21:45:22] udpate price: FMST, row: 3
[2024-07-11 21:45:24] udpate price: HRMY, row: 3
[2024-07-11 21:45:25] udpate price: SOHOB, row: 3
[2024-07-11 21:45:26] udpate price: HSPO, row: 3
[2024-07-11 21:45:28] udpate price: TGAAU, row: 3
[2024-07-11 21:45:29] udpate price: APM, row: 3
[2024-07-11 21:45:31] udpate price: AIMBU, row: 3
[2024-07-11 21:45:33] udpate price: PLUR, row: 3
[2024-07-11 21:45:34] udpate price: PRLHU, row: 3
[2024-07-11 21:45:35] udpate price: EMCG, row: 3
[2024-07-11 21:45:38] udpate price: FSLR, row: 3
[2024-07-11 21:45:40] udpate price: TRIN, row: 3
[2024-07-11 21:45:42] udpate price: EMCGU, row: 3
[2024-07-11 21:45:48] udpate price: GIPRU, row: 0
[2024-07-11 21:45:50] udpate price: AURA, row: 3
[2024-07-11 21:45:51] udpate price: VCIG, row: 3
[2024-07-11 21:45:53] udpate price: LENZ, row: 3
[2024-07-11 21:45:54] udpate price: EZPW, row: 3
[2024-07-11 21:45:56] udpate price: CNTB, row: 3
[2024-07-11 21:45:57] udpate price: MCACU, row: 3
[2024-07-11 21:45:59] udpate price: PLMI, row: 3
[2024-07-11 21:46:01] udpate price: PTWOU, row: 3
[2024-07-11 21:46:02] udpate price: INHD, row: 3
[2024-07-11 21:46:03] udpate price: GAMB, row: 3
[2024-07-11 21:46:05] udpate price: MRBK, row: 3
[2024-07-11 21:46:06] udpate price: VMCAU, row: 3
[2024-07-11 21:46:08] udpate price: COGT, row: 3
[2024-07-11 21:46:15] udpate price: PEGA, row: 3
[2024-07-11 21:46:19] udpate price: CJET, row: 3
[2024-07-11 21:46:22] udpate price: STKS, row: 3
[2024-07-11 21:46:25] udpate price: ACMR, row: 3
[2024-07-11 21:46:28] udpate price: NWS, row: 3
[2024-07-11 21:46:31] udpate price: BTMD, row: 3
[2024-07-11 21:46:34] udpate price: ACGLN, row: 3
[2024-07-11 21:46:35] udpate price: WINVR, row: 0
[2024-07-11 21:46:37] udpate price: RMBI, row: 3
[2024-07-11 21:46:38] udpate price: PDD, row: 3
[2024-07-11 21:46:39] udpate price: CRWS, row: 3
[2024-07-11 21:46:41] udpate price: ASMB, row: 3
[2024-07-11 21:46:42] udpate price: CNGLU, row: 3
[2024-07-11 21:46:43] udpate price: TRNS, row: 3
[2024-07-11 21:46:45] udpate price: ALXO, row: 3
[2024-07-11 21:46:46] udpate price: PERI, row: 3
[2024-07-11 21:46:47] udpate price: ALVR, row: 3
[2024-07-11 21:46:48] udpate price: FTLF, row: 3
[2024-07-11 21:46:50] udpate price: CCEP, row: 3
[2024-07-11 21:46:51] udpate price: FFNW, row: 3
[2024-07-11 21:46:52] udpate price: ACHL, row: 3
[2024-07-11 21:46:54] udpate price: MFI, row: 3
[2024-07-11 21:46:55] udpate price: ATHA, row: 3
[2024-07-11 21:46:57] udpate price: ASLE, row: 3
[2024-07-11 21:46:58] udpate price: CGBS, row: 1
[2024-07-11 21:47:00] udpate price: MNPR, row: 3
[2024-07-11 21:47:01] udpate price: CELC, row: 3
[2024-07-11 21:47:02] udpate price: MEIP, row: 3
[2024-07-11 21:47:03] udpate price: AKTX, row: 3
[2024-07-11 21:47:05] udpate price: SIFY, row: 3
[2024-07-11 21:47:06] udpate price: GRTS, row: 3
[2024-07-11 21:47:07] udpate price: MCBS, row: 3
[2024-07-11 21:47:09] udpate price: IMPP, row: 3
[2024-07-11 21:47:10] udpate price: COCO, row: 3
[2024-07-11 21:47:11] udpate price: MTSI, row: 3
[2024-07-11 21:47:12] udpate price: CHCI, row: 3
[2024-07-11 21:47:14] udpate price: HBANP, row: 3
[2024-07-11 21:47:15] udpate price: RZLT, row: 3
[2024-07-11 21:47:16] udpate price: ALRS, row: 3
[2024-07-11 21:47:18] udpate price: SERV, row: 3
[2024-07-11 21:47:19] udpate price: ABAT, row: 3
[2024-07-11 21:47:20] udpate price: FLYE, row: 3
[2024-07-11 21:47:21] udpate price: ISRL, row: 3
[2024-07-11 21:47:23] udpate price: UBX, row: 3
[2024-07-11 21:47:24] udpate price: KDP, row: 3
[2024-07-11 21:47:25] udpate price: SUUN, row: 3
[2024-07-11 21:47:26] udpate price: FWONA, row: 3
[2024-07-11 21:47:28] udpate price: NCTY, row: 3
[2024-07-11 21:47:29] udpate price: ARHS, row: 3
[2024-07-11 21:47:30] udpate price: HLTH, row: 3
[2024-07-11 21:47:32] udpate price: RFAIU, row: 3
[2024-07-11 21:47:33] udpate price: NXT, row: 3
[2024-07-11 21:47:34] udpate price: UONE, row: 3
[2024-07-11 21:47:36] udpate price: SGMT, row: 3
[2024-07-11 21:47:37] udpate price: CHCO, row: 3
[2024-07-11 21:47:38] udpate price: WTBA, row: 3
[2024-07-11 21:47:39] udpate price: QTTB, row: 3
[2024-07-11 21:47:41] udpate price: CTNM, row: 3
[2024-07-11 21:47:42] udpate price: PVBC, row: 3
[2024-07-11 21:47:43] udpate price: TIPT, row: 3
[2024-07-11 21:47:45] udpate price: HWBK, row: 3
[2024-07-11 21:47:46] udpate price: HUBG, row: 3
[2024-07-11 21:47:47] udpate price: TFINP, row: 3
[2024-07-11 21:47:48] udpate price: TCBX, row: 3
[2024-07-11 21:47:50] udpate price: DOX, row: 3
[2024-07-11 21:47:51] udpate price: VRNA, row: 3
[2024-07-11 21:47:52] udpate price: NMIH, row: 3
[2024-07-11 21:47:54] udpate price: FCFS, row: 3
[2024-07-11 21:47:55] udpate price: HTLF, row: 3
[2024-07-11 21:47:56] udpate price: SDST, row: 0
[2024-07-11 21:47:58] udpate price: MURA, row: 3
[2024-07-11 21:47:59] udpate price: HIBB, row: 3
[2024-07-11 21:48:00] udpate price: ESLT, row: 3
[2024-07-11 21:48:02] udpate price: FEIM, row: 3
[2024-07-11 21:48:03] udpate price: CODX, row: 3
[2024-07-11 21:48:05] udpate price: DAWN, row: 3
[2024-07-11 21:48:06] udpate price: UPWK, row: 3
[2024-07-11 21:48:07] udpate price: COIN, row: 3
[2024-07-11 21:48:09] udpate price: NMRK, row: 3
[2024-07-11 21:48:10] udpate price: RAYA, row: 3
[2024-07-11 21:48:12] udpate price: SPFI, row: 3
[2024-07-11 21:48:13] udpate price: ACTG, row: 3
[2024-07-11 21:48:15] udpate price: APXIU, row: 3
[2024-07-11 21:48:16] udpate price: NATR, row: 3
[2024-07-11 21:48:18] udpate price: TILE, row: 3
[2024-07-11 21:48:19] udpate price: ZPTA, row: 3
[2024-07-11 21:48:21] udpate price: MCAA, row: 3
[2024-07-11 21:48:22] udpate price: MORN, row: 3
[2024-07-11 21:48:23] udpate price: META, row: 3
[2024-07-11 21:48:25] udpate price: ESEA, row: 3
[2024-07-11 21:48:26] udpate price: PCSA, row: 3
[2024-07-11 21:48:28] udpate price: ESGRP, row: 3
[2024-07-11 21:48:29] udpate price: RICK, row: 3
[2024-07-11 21:48:31] udpate price: ACIU, row: 3
[2024-07-11 21:48:32] udpate price: WHF, row: 3
[2024-07-11 21:48:33] udpate price: VBIV, row: 3
[2024-07-11 21:48:35] udpate price: PMN, row: 3
[2024-07-11 21:48:36] udpate price: CMRX, row: 3
[2024-07-11 21:48:38] udpate price: OVID, row: 3
[2024-07-11 21:48:39] udpate price: DRTS, row: 3
[2024-07-11 21:48:41] udpate price: RVSN, row: 3
[2024-07-11 21:48:42] udpate price: GPAC, row: 1
[2024-07-11 21:48:44] udpate price: ZTEK, row: 3
[2024-07-11 21:48:45] udpate price: PROK, row: 3
[2024-07-11 21:48:46] udpate price: BRACR, row: 0
[2024-07-11 21:48:47] udpate price: BANX, row: 3
[2024-07-11 21:48:48] udpate price: DYCQU, row: 3
[2024-07-11 21:48:50] udpate price: REG, row: 3
[2024-07-11 21:48:51] udpate price: IZM, row: 3
[2024-07-11 21:48:52] udpate price: CWST, row: 3
[2024-07-11 21:48:54] udpate price: MAMO, row: 3
[2024-07-11 21:48:55] udpate price: WTW, row: 3
[2024-07-11 21:48:56] udpate price: HBANL, row: 3
[2024-07-11 21:48:58] udpate price: BRACU, row: 3
[2024-07-11 21:48:59] udpate price: PBBK, row: 3
[2024-07-11 21:49:00] udpate price: MRTN, row: 3
[2024-07-11 21:49:02] udpate price: RNAC, row: 3
[2024-07-11 21:49:03] udpate price: ROIC, row: 3
[2024-07-11 21:49:05] udpate price: SGRY, row: 3
[2024-07-11 21:49:07] udpate price: GFS, row: 3
[2024-07-11 21:49:08] udpate price: PATK, row: 3
[2024-07-11 21:49:09] udpate price: YOTAR, row: 0
[2024-07-11 21:49:11] udpate price: AITRU, row: 3
[2024-07-11 21:49:12] udpate price: EXPO, row: 3
[2024-07-11 21:49:14] udpate price: TTD, row: 3
[2024-07-11 21:49:15] udpate price: STRT, row: 3
[2024-07-11 21:49:16] udpate price: RENB, row: 3
[2024-07-11 21:49:18] udpate price: BIOR, row: 3
[2024-07-11 21:49:19] udpate price: PANL, row: 3
[2024-07-11 21:49:20] udpate price: DECAU, row: 3
[2024-07-11 21:49:22] udpate price: VBNK, row: 3
[2024-07-11 21:49:24] udpate price: ADSK, row: 3
[2024-07-11 21:49:25] udpate price: ORGN, row: 3
[2024-07-11 21:49:27] udpate price: MINDP, row: 3
[2024-07-11 21:49:28] udpate price: VABK, row: 3
[2024-07-11 21:49:30] udpate price: CHKP, row: 3
[2024-07-11 21:49:31] udpate price: GLDD, row: 3
[2024-07-11 21:49:33] udpate price: IRAA, row: 3
[2024-07-11 21:49:34] udpate price: TFSL, row: 3
[2024-07-11 21:49:35] udpate price: RLYB, row: 3
[2024-07-11 21:49:37] udpate price: HFWA, row: 3
[2024-07-11 21:49:39] udpate price: WSFS, row: 3
[2024-07-11 21:49:40] udpate price: IIIV, row: 3
[2024-07-11 21:49:42] udpate price: CACC, row: 3
[2024-07-11 21:49:43] udpate price: AVIR, row: 3
[2024-07-11 21:49:44] udpate price: TENKR, row: 0
[2024-07-11 21:49:45] udpate price: QOMOU, row: 3
[2024-07-11 21:49:47] udpate price: GLBZ, row: 3
[2024-07-11 21:49:48] udpate price: OPCH, row: 3
[2024-07-11 21:49:50] udpate price: IROHU, row: 3
[2024-07-11 21:49:53] udpate price: EVGRU, row: 3
[2024-07-11 21:49:54] udpate price: CDZI, row: 3
[2024-07-11 21:49:56] udpate price: SFWL, row: 3
[2024-07-11 21:49:57] udpate price: KTTA, row: 3
[2024-07-11 21:49:59] udpate price: PCTTU, row: 3
[2024-07-11 21:50:00] udpate price: WINA, row: 3
[2024-07-11 21:50:02] udpate price: OPT, row: 3
[2024-07-11 21:50:03] udpate price: NFE, row: 3
[2024-07-11 21:50:05] udpate price: CYTO, row: 3
[2024-07-11 21:50:06] udpate price: AACI, row: 3
[2024-07-11 21:50:07] udpate price: FITBP, row: 3
[2024-07-11 21:50:09] udpate price: CROX, row: 3
[2024-07-11 21:50:10] udpate price: ETON, row: 3
[2024-07-11 21:50:12] udpate price: SLM, row: 3
[2024-07-11 21:50:13] udpate price: TRVI, row: 3
[2024-07-11 21:50:14] udpate price: ZNTL, row: 3
[2024-07-11 21:50:16] udpate price: BCLI, row: 3
[2024-07-11 21:50:17] udpate price: QSG, row: 3
[2024-07-11 21:50:19] udpate price: CASY, row: 3
[2024-07-11 21:50:20] udpate price: MTC, row: 3
[2024-07-11 21:50:22] udpate price: PCSC, row: 3
[2024-07-11 21:50:23] udpate price: LPTX, row: 3
[2024-07-11 21:50:24] udpate price: XFOR, row: 3
[2024-07-11 21:50:26] udpate price: FORM, row: 3
[2024-07-11 21:50:27] udpate price: DNTH, row: 3
[2024-07-11 21:50:28] udpate price: MFH, row: 3
[2024-07-11 21:50:30] udpate price: NWFL, row: 3
[2024-07-11 21:50:31] udpate price: QCRH, row: 3
[2024-07-11 21:50:33] udpate price: DGICB, row: 3
[2024-07-11 21:50:34] udpate price: IFRX, row: 3
[2024-07-11 21:50:35] udpate price: CLRCR, row: 0
[2024-07-11 21:50:37] udpate price: SPGC, row: 3
[2024-07-11 21:50:38] udpate price: CASS, row: 3
[2024-07-11 21:50:40] udpate price: LYRA, row: 3
[2024-07-11 21:50:41] udpate price: UG, row: 3
[2024-07-11 21:50:43] udpate price: TATT, row: 3
[2024-07-11 21:50:44] udpate price: JBSS, row: 3
[2024-07-11 21:50:45] udpate price: JKHY, row: 3
[2024-07-11 21:50:47] udpate price: GOEV, row: 3
[2024-07-11 21:50:48] udpate price: CBAN, row: 3
[2024-07-11 21:50:50] udpate price: SQFTP, row: 3
[2024-07-11 21:50:51] udpate price: HAO, row: 3
[2024-07-11 21:50:52] udpate price: WLDS, row: 3
[2024-07-11 21:50:54] udpate price: NBST, row: 3
[2024-07-11 21:50:56] udpate price: ATMVU, row: 3
[2024-07-11 21:50:57] udpate price: WING, row: 3
[2024-07-11 21:50:59] udpate price: PDYN, row: 3
[2024-07-11 21:51:01] udpate price: OABI, row: 3
[2024-07-11 21:51:02] udpate price: ARM, row: 3
[2024-07-11 21:51:04] udpate price: PROP, row: 3
[2024-07-11 21:51:05] udpate price: GLRE, row: 3
[2024-07-11 21:51:06] udpate price: VIRT, row: 3
[2024-07-11 21:51:08] udpate price: PEGR, row: 3
[2024-07-11 21:51:09] udpate price: FCBC, row: 3
[2024-07-11 21:51:11] udpate price: SHOT, row: 3
[2024-07-11 21:51:12] udpate price: SOBR, row: 3
[2024-07-11 21:51:14] udpate price: RNXT, row: 3
[2024-07-11 21:51:16] udpate price: NHTC, row: 3
[2024-07-11 21:51:17] udpate price: DMLP, row: 3
[2024-07-11 21:51:18] udpate price: MARX, row: 3
[2024-07-11 21:51:20] udpate price: VRPX, row: 3
[2024-07-11 21:51:21] udpate price: EWCZ, row: 3
[2024-07-11 21:51:23] udpate price: MRUS, row: 3
[2024-07-11 21:51:24] udpate price: OPINL, row: 3
[2024-07-11 21:51:26] udpate price: NBBK, row: 3
[2024-07-11 21:51:27] udpate price: ITOS, row: 3
[2024-07-11 21:51:29] udpate price: RVSB, row: 3
[2024-07-11 21:51:30] udpate price: USAP, row: 3
[2024-07-11 21:51:31] udpate price: QOMOR, row: 0
[2024-07-11 21:51:32] udpate price: ISRLU, row: 3
[2024-07-11 21:51:34] udpate price: RENE, row: 3
[2024-07-11 21:51:35] udpate price: GREEL, row: 3
[2024-07-11 21:51:37] udpate price: VTYX, row: 3
[2024-07-11 21:51:39] udpate price: PDEX, row: 3
[2024-07-11 21:51:40] udpate price: CBFV, row: 3
[2024-07-11 21:51:42] udpate price: LNTH, row: 3
[2024-07-11 21:51:43] udpate price: CDW, row: 3
[2024-07-11 21:51:45] udpate price: NTIC, row: 3
[2024-07-11 21:51:46] udpate price: BELFB, row: 3
[2024-07-11 21:51:48] udpate price: PYXS, row: 3
[2024-07-11 21:51:49] udpate price: CBRL, row: 3
[2024-07-11 21:51:50] udpate price: EPSN, row: 3
[2024-07-11 21:51:52] udpate price: PRLD, row: 3
[2024-07-11 21:51:53] udpate price: GMFI, row: 3
[2024-07-11 21:51:55] udpate price: NB, row: 3
[2024-07-11 21:51:55] udpate price: HSPOR, row: 0
[2024-07-11 21:51:57] udpate price: BCPC, row: 3
[2024-07-11 21:51:58] udpate price: MODD, row: 3
[2024-07-11 21:51:59] udpate price: QETAR, row: 0
[2024-07-11 21:52:01] udpate price: WATT, row: 3
[2024-07-11 21:52:02] udpate price: INO, row: 3
[2024-07-11 21:52:04] udpate price: INMB, row: 3
[2024-07-11 21:52:05] udpate price: UROY, row: 3
[2024-07-11 21:52:07] udpate price: PLBC, row: 3
[2024-07-11 21:52:08] udpate price: FOX, row: 3
[2024-07-11 21:52:09] udpate price: PECO, row: 3
[2024-07-11 21:52:11] udpate price: JBHT, row: 3
[2024-07-11 21:52:12] udpate price: MCRI, row: 3
[2024-07-11 21:52:14] udpate price: EXPE, row: 3
[2024-07-11 21:52:16] udpate price: GBIO, row: 3
[2024-07-11 21:52:17] udpate price: MVIS, row: 3
[2024-07-11 21:52:18] udpate price: ABLV, row: 3
[2024-07-11 21:52:20] udpate price: ESGRO, row: 3
[2024-07-11 21:52:21] udpate price: CALB, row: 3
[2024-07-11 21:52:22] udpate price: PODD, row: 3
[2024-07-11 21:52:24] udpate price: NCI, row: 3
[2024-07-11 21:52:25] udpate price: FWRD, row: 3
[2024-07-11 21:52:26] udpate price: ONB, row: 3
[2024-07-11 21:52:28] udpate price: XCUR, row: 3
[2024-07-11 21:52:29] udpate price: ATRA, row: 3
[2024-07-11 21:52:30] udpate price: KGEI, row: 3
[2024-07-11 21:52:31] udpate price: LWAY, row: 3
[2024-07-11 21:52:33] udpate price: LXRX, row: 3
[2024-07-11 21:52:34] udpate price: SCWO, row: 3
[2024-07-11 21:52:35] udpate price: HGBL, row: 3
[2024-07-11 21:52:37] udpate price: ACAB, row: 3
[2024-07-11 21:52:38] udpate price: UTHR, row: 3
[2024-07-11 21:52:39] udpate price: SGD, row: 3
[2024-07-11 21:52:41] udpate price: GODN, row: 3
[2024-07-11 21:52:42] udpate price: TSLA, row: 3
[2024-07-11 21:52:43] udpate price: YY, row: 3
[2024-07-11 21:52:44] udpate price: ANIP, row: 3
[2024-07-11 21:52:46] udpate price: FTAIP, row: 3
[2024-07-11 21:52:47] udpate price: WTMA, row: 3
[2024-07-11 21:52:48] udpate price: TRAW, row: 3
